UniqueID,AD-AsymAD.FoldChange,AD-Control.FoldChange,AsymAD-Control.FoldChange,f.value,p.value,Holm Adjusted pvalule AD to AsymAD,Holm Adjusted pvalule AD to Control,Holm Adjusted pvalule AsymAD to Control
SPTAN1|Q13813-2,0.0074315690749451185,0.008876512554945079,0.0014449434799999605,0.9269933178073829,0.3964417998756826,0.7656840145628956,0.7656840145628956,0.8373146342623574
SPTAN1|Q13813-3,-0.0032927936068131852,0.001115596822620784,0.004408390429433969,0.4268134823847483,0.6528301342901057,1.0,1.0,1.0
PLEC|Q15149-3,-0.030471696749082428,-0.03255709949305412,-0.00208540274397169,9.789510255980483,6.792711786603354e-05,0.0004039821484287075,0.0005359863041603116,0.8199954912510938
PLEC|Q15149-8,-0.13584813275045357,-0.20445652241984136,-0.06860838966938777,20.643430250055463,2.517181397602354e-09,2.1746634096581444e-05,3.0089214822314892e-09,0.03667725845419538
PLEC|Q15149,-0.07069689057769236,-0.10154496279825842,-0.03084807222056605,33.25214209044116,2.9293122886688436e-14,6.339399728477887e-09,1.0437797914514359e-13,0.025340136926857507
DYNC1H1|Q14204,-0.011191317135549494,-0.0006970751014928611,0.010494242034056633,2.250299701679434,0.10646671032044472,0.15141947574337933,0.9223283013326069,0.21628177679949154
SPTBN1|Q01082,0.01701175209076919,0.022525838523222028,0.005514086432452839,7.795631932889914,0.0004652426916931772,0.0039828567426561145,0.0010990719670067074,0.38453378555528406
ANK2|I6L894,-0.0049731407795604865,0.001060474400062239,0.0060336151796227255,0.35716087199187024,0.6998438000433718,1.0,1.0,1.0
SPTBN1|Q01082-2,-0.001756414797362638,0.0075510212211279265,0.009307436018490566,1.489935744627572,0.2264169029404392,0.7054386818992251,0.38129402988331235,0.2604862721359963
SYNE1|Q8NF91,0.01011609800697802,0.017907027842732667,0.007790929835754648,4.140648291632505,0.016478559621663978,0.13478427276824634,0.006057060292031919,0.24788696307187819
MACF1|H3BQK9,-0.011294403577422313,-0.021697443211602246,-0.010403039634179934,0.9905791624898559,0.3722706576812891,0.7860402760058365,0.49238765786643307,0.7860402760058365
MACF1|Q9UPN3,-0.00800866016263737,-0.00955890813622226,-0.001550247973584891,2.41922530316256,0.09006373948048012,0.1547957319798479,0.1547957319798479,0.7700110251073178
MACF1|Q9UPN3-3,-0.012045152395439587,-0.0144380181547792,-0.002392865759339613,1.61789198595752,0.199384768543043,0.34460435343695633,0.34460435343695633,0.8068622097599696
AHNAK|Q09666,-0.06798764184590113,-0.05017019848663701,0.01781744335926412,6.736076416100995,0.0013015264860823574,0.000790817259074811,0.050859939507446494,0.4380875888959106
DST|Q03001,-0.007819046793021967,0.007845149182355377,0.015664195975377344,0.8208901403205808,0.44065022247312846,0.9331485103414405,0.9331485103414405,0.5922374968224401
DST|E9PEB9,-0.02899995382565941,-0.03089144252839522,-0.0018914887027358107,18.943220891227796,1.1983446480642317e-08,2.3146433436280457e-07,3.0956091142511223e-06,0.759611951388425
BSN|Q9UPA5,0.04711145741005501,0.06691840336014933,0.019806945950094315,24.285906703885708,8.873569675769062e-11,3.1000234564322743e-07,2.697756145920922e-09,0.05546430862036514
MAP2|P11137-3,0.04368861802756599,0.06360294009444337,0.019914322066877384,8.214237767048104,0.00031023494297889695,0.004272182709451775,0.0005601736953248935,0.2477613302994302
MAP1B|P46821,0.010874213506714296,0.02062323896495956,0.009749025458245263,1.7596592055445393,0.17320046605784314,0.5199740603528225,0.19248799239287734,0.5199740603528225
CLTC|A0A087WVQ6,0.015884941757747226,0.030792111299917033,0.014907169542169807,7.864341270888359,0.0004352841275625525,0.040457346462649035,0.00022654437477323132,0.05501775311673076
MAP1A|E9PGC8,-0.017393503504065988,-0.017972149434065887,-0.0005786459299998992,2.3118705106816675,0.10016665197938311,0.15243169512283514,0.15243169512283514,0.9587451276020558
